id,movie_title,lead_actor1,lead_actor2,sub_actor1,sub_actor2
1,괴기맨숀,성준,김홍파,김보라,
2,국카스텐 콘서트 실황 : 해프닝,,,,
3,귀문,김강우,김소혜,홍진기,이정형
4,나만 보이니,정진운,솔빈,,
5,내일의 기억,서예지,김강우,,
6,모가디슈,김윤석,조인성,허준호,구교환
7,발신제한,조우진,이재인,진경,
8,방법: 재차의,엄지원,정지소,정문성,김인권
9,범털2 : 쩐의 전쟁,성낙경,신유람,,
10,베르나르다 알바,정영주,황석정,김국희,오소연
11,블랙핑크 더 무비,블랙핑크,,,
12,송가인 더 드라마,송가인,,,
13,숏버스 감성행,,,,
14,숏버스 이별행,공유림,윤현경,김재화,조민재
15,싱크홀,차승원,김성균,이광수,김혜준
16,아이,김향기,류현경,염혜란,
17,온더로드,김재중,,,
18,용루각2: 신들의 밤,지일주,정화,장의수,정의욱
19,인질,황정민,,,
20,정브르의 동물일기,,,,
21,최면,이다윗,조현,김도훈,남민우
22,킬러파티 (양수리 살인사건),양준모,신영숙,김소향,알리
23,트웬티 해커,권현빈,임나영,조현영,김건수
24,파이프라인,서인국,이수혁,음문석,유승목
25,"2021 스웨그 에이지 : 외쳐, 조선!",양희준,김수하,,
26,간이역,김동준,김재경,,
27,검객,장혁,김현수,조타슬림,정만식
28,공포체험라디오 4DX,,,,
29,구직자들,정경호,강유석,,
30,국제수사,곽도원,김대명,김희원,김상호
31,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",김호중,,,
32,극장판 미니특공대: 햄버거괴물의 습격,,,,
33,극장판 콩순이: 장난감나라 대모험,,,,
34,기기괴괴 성형수,문남숙,장민혁,조현정,김보영
35,내가 죽던 날,김혜수,이정은,노정의,
36,늙은 부부이야기: 스테이지 무비,김명곤,차유경,,
37,담보,성동일,하지원,김희원,박소이
38,더블패티,신승호,아이린,송지인,
39,도굴,이제훈,조우진,신혜선,임원희
40,디바,신민아,이유영,,
41,런 보이 런,장동윤,서벽준,,
42,매지컬: 공주를 웃겨라,박지윤,남도형,장광,이봉준
43,몬테크리스토: 더 뮤지컬 라이브,카이,린아,김준현,이종문
44,미드나이트,진기주,위하준,박훈,길해연
45,미션 파서블,김영광,이선빈,,
46,미스터 보스,공찬,이승현,최동구,홍은기
47,미스터트롯: 더 무비,임영웅,영탁,이찬원,정동원
48,반도,강동원,이정현,,
49,베르테르,,,,
50,부활: 그 증거,권오중,이성혜,이용규,이어령
51,불어라 검풍아 - 감독판,안지혜,이민지,,
52,브레이크 더 사일런스: 더 무비,RM,진,슈가,제이홉
53,브링 더 소울 : 더 무비,RM,진,슈가,제이홉
54,비와 당신의 이야기,강하늘,천우희,,
55,빛과 철,김시은,염혜란,박지후,
56,삼진그룹 영어토익반,고아성,이솜,박혜수,
57,새해전야,김강우,유인나,유연석,이연희
58,소리도 없이,유아인,유재명,문승아,
59,소리에 놀라지 않는 사자처럼,이금희,,,
60,습도 다소 높음,이희준,김충길,신민재,백승환
61,"시,나리오",신소율,오태경,,
62,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,,,,
63,아들의 이름으로,안성기,박근형,윤유선,
64,아르코 라이브 무용 고요한 순환,,,,
65,아르코 라이브 뮤지컬 인사이드 윌리엄,,,,
66,아르코 라이브 뮤지컬 호프,,,,
67,아이들은 즐겁다,이경훈,박예찬,홍정민,박시완
68,여고괴담 여섯번째 이야기 : 모교,김서형,김현수,최리,김형서
69,오! 문희,나문희,이희준,,
70,완벽한 동거,김혁,정시아,,
71,"이별유예, 일주일",유리,현우,한가림,윤지온
72,이웃사촌,정우,오달수,김희원,김병철
73,인플루언서,야생마,강지혜,이유빈,지윤미
74,잃어버린 얼굴 1895,차지연,강상준,금승훈,김건혜
